id,text,label
1,سلام وقت بخیر. می‌خواستم وضعیت سفارش شماره ۱۲۳۴ رو بدونم.,polite
2,سلام و عرض ادب. لطفاً زمان تقریبی ارسال بسته منو اعلام کنید.,polite
3,با سلام. ممنون می‌شم اگر کد رهگیری را برای بنده ارسال کنید.,polite
4,روزتون بخیر. امکانش هست وضعیت مرسوله را بررسی کنید؟,polite
5,سلام. ممنون می‌شم اگر راهنمایی کنید چطور می‌تونم آدرس رو اصلاح کنم.,polite
6,وقتتون بخیر. اگر زحمتی نیست هزینه ارسال به شیراز رو می‌فرمایید؟,polite
7,سلام. مرسی از پشتیبانی خوبتون. فقط یک سوال درباره موجودی داشتم.,polite
8,سلام. لطفاً مشخصات فنی محصول رو برام ارسال می‌کنید؟,polite
9,درود بر شما. امکانش هست فاکتور خرید رو برام ایمیل کنید؟,polite
10,سلام و خسته نباشید. وضعیت سفارش من به‌روزرسانی نشده، ممکنه بررسی کنید؟,polite
11,سلام. اگر برای شما مقدوره، زمان دقیق ارسال رو اعلام کنید.,polite
12,روز بخیر. می‌خواستم مطمئن بشم سفارشم ثبت شده یا نه.,polite
13,سلام. ممنون می‌شم اگر لینک پرداخت رو دوباره ارسال کنید.,polite
14,سلام. آیا امکان تغییر سایز کالا وجود دارد؟,polite
15,وقت شما بخیر. اگر فرصت داشتید موجودی این کالا را بررسی کنید.,polite
16,سلام. من پیامم رو ارسال کردم، ممنون می‌شم اگر پیگیری کنید.,polite
17,سلام. اگر امکان داره، تخفیف‌های امروز رو اطلاع بدین.,polite
18,درود. لطفاً اگر ارسال انجام شد، اطلاع‌رسانی بفرمایید.,polite
19,سلام. من تازه ثبت‌نام کردم، ممنون می‌شم راهنمایی کنید.,polite
20,سلام. خیلی ممنون می‌شم اگر سفارشم رو سریع‌تر بررسی کنید.,polite
21,با سلام و احترام. آیا امکان تمدید گارانتی وجود دارد؟,polite
22,سلام. لطفاً رسید پرداخت را برای من ارسال کنید. سپاس.,polite
23,سلام. اگر ممکنه موجودی رنگ مشکی رو بررسی کنید.,polite
24,خسته نباشید. آیا ارسال با پست پیشتاز انجام می‌شود؟,polite
25,سلام وقت بخیر. برای انتخاب سایز مناسب راهنمایی می‌خواستم.,polite
26,سلام. لطفاً شماره تماس پشتیبانی را اعلام کنید.,polite
27,سلام. ممنون می‌شم اگر هزینه مرجوعی را بفرمایید.,polite
28,درود بر شما. امکان لغو سفارش وجود دارد؟,polite
29,سلام. خیلی ممنون می‌شم زمان تقریبی تحویل رو اعلام کنید.,polite
30,سلام. می‌خواستم بدونم امکان ارسال فوری هست؟,polite
31,سلام. ممنون از خدمات خوبتون. فقط یک سوال داشتم.,polite
32,وقت شما بخیر. امکان اصلاح شماره تماس وجود داره؟,polite
33,سلام. لطفاً اگر سفارشم ارسال شد اطلاع بدین.,polite
34,سلام. آیا این محصول شامل گارانتی هست؟,polite
35,بسیار ممنون می‌شم اگر راهنمایی کنید چطور ثبت‌نام کنم.,polite
36,سلام خدمت شما. امکان ارسال تصاویر واقعی محصول هست؟,polite
37,سلام. من سفارشم رو ثبت کردم، ممنون می‌شم تایید کنید.,polite
38,سلام. آیا امکان پرداخت در محل وجود دارد؟,polite
39,درود. لطفاً راهنمای خرید برای من ارسال کنید.,polite
40,سلام. ممنون اگر درباره تفاوت دو مدل توضیح بدین.,polite
41,سلام. هزینه ارسال برای چند محصول تغییر می‌کند؟,polite
42,روزتون بخیر. لطفاً زمان پاسخگویی تلفنی رو بفرمایید.,polite
43,سلام. امکانش هست لینک آموزش استفاده رو بفرستید؟,polite
44,سلام. آیا این محصول امکان تست دارد؟,polite
45,وقت بخیر. اگر زحمتی نیست اطلاعات فنی بیشتری می‌خواستم.,polite
46,سلام. ممنون می‌شم وضعیت انبار رو بررسی کنید.,polite
47,سلام و تشکر. فقط یک سوال کوچک درباره ارسال دارم.,polite
48,سلام. ممنون می‌شم اگر تخفیف‌های فعال رو معرفی کنید.,polite
49,سلام. آیا محصول دوباره موجود می‌شود؟,polite
50,سلام. از خدمات شما راضی هستم. یک سوال درباره مرجوعی داشتم.,polite
51,سلام وقت بخیر. می‌خواستم درباره روش ارسال بدونم.,polite
52,سلام. یه راهنمایی درباره شیوه پرداخت می‌خواستم.,polite
53,سلام دوستان. ممنون اگر پیگیری فرمایید سفارشم کجاست.,polite
54,سلام. این محصول برای استفاده روزمره مناسبه؟,polite
55,درود. لطفاً اگر موجود شد اطلاع بدید.,polite
56,سلام. می‌خواستم رنگ‌های موجود رو بدونم.,polite
57,سلام. امکان یادآوری زمان ارسال هست؟,polite
58,سلام. خیلی ممنون بابت پیگیری.,polite
59,وقتتون بخیر. ممنون می‌شم اگر راهنمای خرید بدید.,polite
60,سلام. یک سوال درباره فعال‌سازی گارانتی دارم.,polite
61,سلام. لطفاً لینک دانلود اپلیکیشن رو ارسال کنید.,polite
62,درود بر شما. ممنون از زحماتتون.,polite
63,سلام. فقط خواستم تشکر کنم بابت پشتیبانی خوبتون.,polite
64,سلام وقت بخیر. می‌خواستم یک سوال کوچک بپرسم.,polite
65,سلام. آیا امکان ارسال امروز هست؟,polite
66,سلام. می‌خواستم درباره شرایط بازگشت کالا بدونم.,polite
67,سلام. برای خرید عمده تخفیف دارید؟,polite
68,وقت بخیر. آیا امکان تست قبل از خرید وجود داره؟,polite
69,سلام. اگر ممکنه سایز‌بندی رو توضیح بدین.,polite
70,سلام. لطفاً اگر این محصول مشابه دارد اطلاع دهید.,polite
71,سلام. امکان داره سفارش رو سریع‌تر ارسال کنید؟ ممنون.,polite
72,سلام. من سفارشم ثبت شده ولی تایید نشده. ممکنه بررسی کنید؟,polite
73,سلام. آیا امکان ارسال به خارج از کشور وجود دارد؟,polite
74,سلام. ممنون از پاسخگویی شما.,polite
75,سلام. امکانش هست نمونه محصول بفرستید؟,polite
